name,operator_type,opening_hours,phone_number,email_address,number_of_employees,number_of_students,comments,type,lat,long
Janak Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846120350,,1,23,,school,28.2113222,84.0915753
Annapurna Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846030227,,13,191,,school,28.2718858,84.0008909
Pokhara Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-540245  061-540830,,,,,school,28.2259193,83.9872772
Sima Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-460035  9856038585,,,,,school,28.1889256,83.9635398
Patnyari Basic School,government,Su-Th 10:00-16:00  Fr 10:00-15:00,9856070250,,9,339,,school,28.1489093,84.0596685
Bal Sudhar Griha,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805194404,,,,,school,28.244216,83.9563099
Karma Siddha Parampara Dhamachakra Gumba,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9826186736,,3,99,,school,28.2169411,84.0069835
Nawajyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9815144422,,,,,school,28.1891846,84.1415513
The Dream School,private,,061-695044,,19,136,,school,28.1589863,84.0188616
Nawa Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846244435,,6,58,,school,28.0966192,84.0428996
Chir Shanti Basic School,government,,9848369136,,4,48,,school,28.1236038,84.0088999
SOS Hermann Gmeiner Sshool,,,061-463307,,54,286,,college,28.18936671,83.97847021
Institute of Forestry,,,97761430469,,,,,college,28.18781046,83.99283326
Pokhara Lincoln International College,private,,61531964,,,,,college,28.21020603,83.97559043
Prithivi Narayan Campus,,,+977-61-526837  520142,,,,,college,28.24038352,83.99063696
Institute of Engineering Pashchimanchal Campus,,,061-440457 061-440463 061-440093 061-440465,,,1488,,college,28.25328014,83.97561974
Manipal College of Medical Sciences,,,,,,,,college,28.25123808,83.98615173
Janapriya Multiple college,community,,061-531822  061-522287  061-527723,,,,,college,28.20340917,83.97837587
PCM College,,,,,,,,college,28.22878482,83.99049598
Janapriya Multiple College(BBA Building),,09:00-17:00,,,,,,college,28.2023782,83.97899837
Gandaki College Of Engineering And Sciences,,,,,,,,college,28.25890246,83.970553
Pokhara Nursing College,,,,,,,,college,28.21427714,83.99891485
Plus 2 building,,10 am to 4 pm Sunday To Friday,,,,,,college,28.22395789,83.9940197
Kanya Campus,,,,,,,,college,28.23193013,83.9911446
LA GRANDEE Int'l College,,,,,,,,college,28.2067154,83.97618315
Vindabasini Higher Secondary School,government,,,,14,90,,college,28.26350501,83.97940326
Nepal Tourism & Hotel Management College,,,,,,,,college,28.17180334,84.02139208
Soch College of IT,private,,061-540120,,,,,college,28.2220146,83.9975963
Pokhara Engineering College,,sunrise-sunset,,,,,,college,28.21093164,83.97731651
Pokhara Engineering College,,sunrise-sunset,,,,,,college,28.21105628,83.97672028
Sagarmatha Higher Secondary School,,,,,,,,college,28.21989428,83.98920772
Shiva Shakti Campus,,,,,,,,college,28.22926412,83.99978395
Pokhara Higher Secondary School,,,,,,,,college,28.23841009,83.98845461
Gupteshwor Mahadev Multiple Campus,,09:00-17:00,,,,,,college,28.1888732,83.9578
Shree Janaprakash Bahumukhi Campus,government,,,,,,,college,28.15064167,84.06586033
Pokhara Bigyan Tatha Prabidhi Campus,,,,,,,,college,28.21809827,83.9895778
Mount Annapurna Campus,private,,061-532636,,,,,college,28.23437158,83.9958255
Novel Academy,,,,,,,,college,28.21344135,83.98398878
Nepal Tourism And Hotel Management Collage,private,06:00-15:00,061-527903  061-526458  061-431678  061-432333,,,,,college,28.22631901,83.98801623
Kalika College,,,,,,,,college,28.19286347,84.00335139
Gaurishankar Multiple Campus,government,Su-Fr 10:00-16:00,,,,,,college,28.28466462,83.93428481
Gupteshwor Mahadev Multiple Campus,government,,,gupteshwormmc@gmail.com,,,,college,28.19121911,83.96047767
Gandaki Medical Collage,private,,,,,,,college,28.17123097,84.04311797
Fab School Of Hotel Management,private,Su-Fr 10:00-16:00,,,5,40,,college,28.1874688,83.93720297
Pokhara Technical School,,,,,,,,college,28.22193883,84.00125236
Manipal Teaching Hospital,,,,,,,,college,28.23602298,83.99753817
Mount Valley Collage,,,,,,,,college,28.2383658,83.9885516
Heritage College,,,61525183,,,,,college,28.2122835,83.9788319
Cosmos International College,,,6.15223760615413E+016,,22,90,,college,28.2260661,83.9905121
InfoMax College,,,,,,,,college,28.2141475,84.0021435
Mahendra Multiple Campus,,,,,,,,college,28.2196235,83.9905129
Bhadrakali Multiple Campus,,,,,,,,college,28.2137445,84.0122044
Laxmi Adarsha College,private,,,,,,,college,28.1712576,84.0634299
Prakritik Swrot Baybasthapan College,,Su-Fr 10:00-16:00,,,,,,college,28.2917458,83.9470214
Kalika Multiple Campus,,,,,,,,college,28.2013281,83.9983776
Pokhara University,public,,,,,,,university,28.14424784,84.08479051
